State_Name,USPS_code,state_FIPS_code,County_Name,County_Name_Complete,county_FIPS_code
Alabama,AL,1,Autauga ,Autauga County,1001
Alabama,AL,1,Baldwin ,Baldwin County,1003
Alabama,AL,1,Barbour ,Barbour County,1005
Alabama,AL,1,Bibb ,Bibb County,1007
Alabama,AL,1,Blount ,Blount County,1009
Alabama,AL,1,Bullock ,Bullock County,1011
Alabama,AL,1,Butler ,Butler County,1013
Alabama,AL,1,Calhoun ,Calhoun County,1015
Alabama,AL,1,Chambers ,Chambers County,1017
Alabama,AL,1,Cherokee ,Cherokee County,1019
Alabama,AL,1,Chilton ,Chilton County,1021
Alabama,AL,1,Choctaw ,Choctaw County,1023
Alabama,AL,1,Clarke ,Clarke County,1025
Alabama,AL,1,Clay ,Clay County,1027
Alabama,AL,1,Cleburne ,Cleburne County,1029
Alabama,AL,1,Coffee ,Coffee County,1031
Alabama,AL,1,Colbert ,Colbert County,1033
Alabama,AL,1,Conecuh ,Conecuh County,1035
Alabama,AL,1,Coosa ,Coosa County,1037
Alabama,AL,1,Covington ,Covington County,1039
Alabama,AL,1,Crenshaw ,Crenshaw County,1041
Alabama,AL,1,Cullman ,Cullman County,1043
Alabama,AL,1,Dale ,Dale County,1045
Alabama,AL,1,Dallas ,Dallas County,1047
Alabama,AL,1,DeKalb ,DeKalb County,1049
Alabama,AL,1,Elmore ,Elmore County,1051
Alabama,AL,1,Escambia ,Escambia County,1053
Alabama,AL,1,Etowah ,Etowah County,1055
Alabama,AL,1,Fayette ,Fayette County,1057
Alabama,AL,1,Franklin ,Franklin County,1059
Alabama,AL,1,Geneva ,Geneva County,1061
Alabama,AL,1,Greene ,Greene County,1063
Alabama,AL,1,Hale ,Hale County,1065
Alabama,AL,1,Henry ,Henry County,1067
Alabama,AL,1,Houston ,Houston County,1069
Alabama,AL,1,Jackson ,Jackson County,1071
Alabama,AL,1,Jefferson ,Jefferson County,1073
Alabama,AL,1,Lamar ,Lamar County,1075
Alabama,AL,1,Lauderdale ,Lauderdale County,1077
Alabama,AL,1,Lawrence ,Lawrence County,1079
Alabama,AL,1,Lee ,Lee County,1081
Alabama,AL,1,Limestone ,Limestone County,1083
Alabama,AL,1,Lowndes ,Lowndes County,1085
Alabama,AL,1,Macon ,Macon County,1087
Alabama,AL,1,Madison ,Madison County,1089
Alabama,AL,1,Marengo ,Marengo County,1091
Alabama,AL,1,Marion ,Marion County,1093
Alabama,AL,1,Marshall ,Marshall County,1095
Alabama,AL,1,Mobile ,Mobile County,1097
Alabama,AL,1,Monroe ,Monroe County,1099
Alabama,AL,1,Montgomery ,Montgomery County,1101
Alabama,AL,1,Morgan ,Morgan County,1103
Alabama,AL,1,Perry ,Perry County,1105
Alabama,AL,1,Pickens ,Pickens County,1107
Alabama,AL,1,Pike ,Pike County,1109
Alabama,AL,1,Randolph ,Randolph County,1111
Alabama,AL,1,Russell ,Russell County,1113
Alabama,AL,1,St. Clair ,St. Clair County,1115
Alabama,AL,1,Shelby ,Shelby County,1117
Alabama,AL,1,Sumter ,Sumter County,1119
Alabama,AL,1,Talladega ,Talladega County,1121
Alabama,AL,1,Tallapoosa ,Tallapoosa County,1123
Alabama,AL,1,Tuscaloosa ,Tuscaloosa County,1125
Alabama,AL,1,Walker ,Walker County,1127
Alabama,AL,1,Washington ,Washington County,1129
Alabama,AL,1,Wilcox ,Wilcox County,1131
Alabama,AL,1,Winston ,Winston County,1133
Alaska,AK,2,Aleutians East ,Aleutians East Borough,2013
